City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
70,Kavaratti,IN,10.57,72.64,81.34,79,98,19.84,2020-09-11 23:56:05
71,Iqaluit,CA,63.75,-68.51,37.4,86,90,3.36,2020-09-11 23:56:05
72,Gimli,CA,50.63,-96.99,68.0,63,0,4.0,2020-09-11 23:53:35
73,Warrington,GB,53.39,-2.58,57.2,93,75,11.41,2020-09-11 23:56:06
74,Kolokani,ML,13.57,-8.03,74.79,88,49,6.49,2020-09-11 23:56:07
75,Northam,GB,51.03,-4.22,60.01,85,98,11.01,2020-09-11 23:56:07
76,Hobart,AU,-42.88,147.33,53.6,66,40,5.82,2020-09-11 23:52:01
77,Saskylakh,RU,71.92,114.08,46.67,72,76,5.08,2020-09-11 23:56:08
78,Ponta Do Sol,PT,32.67,-17.1,73.4,60,40,4.7,2020-09-11 23:56:08
79,Razole,IN,16.48,81.83,76.82,95,98,3.8,2020-09-11 23:56:08
80,Mitu,CO,1.2,-70.17,76.35,81,21,2.57,2020-09-11 23:53:21
81,Isangel,VU,-19.55,169.27,77.0,65,75,9.17,2020-09-11 23:56:09
82,Yellowknife,CA,62.46,-114.35,46.4,93,90,11.41,2020-09-11 23:52:33
83,Kismayo,SO,-0.36,42.55,77.67,81,85,17.11,2020-09-11 23:56:09
84,Bredasdorp,ZA,-34.53,20.04,60.8,87,100,16.11,2020-09-11 23:56:09
85,Dingle,PH,11.0,122.67,81.79,79,98,0.6,2020-09-11 23:56:10
86,Migori,KE,-1.06,34.47,64.38,68,51,6.64,2020-09-11 23:56:10
87,Lorengau,PG,-2.02,147.27,85.21,72,23,10.45,2020-09-11 23:56:10
88,Maltahohe,NA,-24.83,16.98,60.89,29,0,5.68,2020-09-11 23:56:11
89,Provideniya,RU,64.38,-173.3,46.99,67,92,5.97,2020-09-11 23:56:11
90,Salalah,OM,17.02,54.09,80.6,78,75,2.24,2020-09-11 23:56:12
91,Salinopolis,BR,-0.61,-47.36,80.33,80,66,12.5,2020-09-11 23:56:12
92,Mahebourg,MU,-20.41,57.7,69.8,88,40,10.29,2020-09-11 23:56:13
93,Sulangan,PH,11.14,123.72,83.84,70,89,3.91,2020-09-11 23:56:13
94,Esperance,AU,-33.87,121.9,50.0,100,36,6.93,2020-09-11 23:56:14
95,Gaspe,CA,48.83,-64.48,53.6,76,40,5.12,2020-09-11 23:56:14
96,Bluff,NZ,-46.6,168.33,54.0,64,96,4.0,2020-09-11 23:56:14
97,Berlevag,NO,70.86,29.09,46.63,73,13,8.1,2020-09-11 23:56:14
98,Diu,IN,20.71,70.98,79.16,87,100,5.5,2020-09-11 23:56:15
99,Hithadhoo,MV,-0.6,73.08,81.93,75,100,9.66,2020-09-11 23:56:16
100,Beringovskiy,RU,63.05,179.32,48.72,80,94,18.52,2020-09-11 23:56:16
101,Colares,PT,38.8,-9.45,72.0,36,100,6.78,2020-09-11 23:56:16
102,Doha,QA,25.29,51.53,90.0,84,0,3.36,2020-09-11 23:56:17
103,Guerrero Negro,MX,27.98,-114.06,88.61,25,0,13.22,2020-09-11 23:56:17
104,Belaya Gora,RU,68.53,146.42,54.16,52,0,5.46,2020-09-11 23:56:17
105,Chuy,UY,-33.7,-53.46,56.26,91,59,8.95,2020-09-11 23:56:17
106,Vila Franca Do Campo,PT,37.72,-25.43,69.8,83,20,10.29,2020-09-11 23:56:17
107,Kodiak,US,57.79,-152.41,64.4,60,1,6.93,2020-09-11 23:56:17
108,Pacifica,US,37.61,-122.49,73.99,77,1,10.29,2020-09-11 23:52:52
109,Kaitangata,NZ,-46.28,169.85,55.99,53,96,3.0,2020-09-11 23:56:18
110,Zhigansk,RU,66.77,123.37,48.47,92,98,3.47,2020-09-11 23:56:18
111,Belmonte,BR,-15.86,-38.88,75.2,69,20,10.29,2020-09-11 23:56:18
112,Georgetown,MY,5.41,100.34,77.0,94,20,3.04,2020-09-11 23:56:08
113,Sinnamary,GF,5.38,-52.95,79.72,80,25,12.41,2020-09-11 23:56:18
114,Carnarvon,AU,-24.87,113.63,59.0,67,0,14.99,2020-09-11 23:56:19
115,Roebourne,AU,-20.78,117.13,81.9,33,0,16.22,2020-09-11 23:56:19
116,Saint George,US,37.1,-113.58,89.01,9,1,5.82,2020-09-11 23:56:15
117,Sao Joao Da Barra,BR,-21.64,-41.05,73.26,83,0,17.11,2020-09-11 23:56:19
118,Coihaique,CL,-45.58,-72.07,41.0,86,90,8.05,2020-09-11 23:56:20
119,Flinders,AU,-34.58,150.86,64.99,64,2,5.99,2020-09-11 23:56:20
120,Zhanaozen,KZ,43.3,52.8,64.06,44,0,6.15,2020-09-11 23:56:21
121,Elko,US,41.0,-115.5,84.99,4,0,13.0,2020-09-11 23:56:21
122,Chokurdakh,RU,70.63,147.92,52.66,54,0,6.15,2020-09-11 23:56:21
123,Ribeira Grande,PT,38.52,-28.7,71.87,78,10,6.8,2020-09-11 23:56:22
124,Mogwase,ZA,-25.18,27.27,53.37,42,0,1.23,2020-09-11 23:56:22
125,Half Moon Bay,US,37.46,-122.43,77.0,53,90,8.05,2020-09-11 23:56:22
126,Muravlenko,RU,63.79,74.52,49.06,83,74,13.6,2020-09-11 23:56:22
127,Banda Aceh,ID,5.56,95.32,78.64,82,100,10.49,2020-09-11 23:55:04
128,Moron,AR,-34.65,-58.62,59.0,38,75,5.82,2020-09-11 23:54:42
129,Thompson,CA,55.74,-97.86,48.2,93,75,6.93,2020-09-11 23:56:23
130,Hofn,IS,64.25,-15.21,47.82,87,100,0.27,2020-09-11 23:56:23
131,Upernavik,GL,72.79,-56.15,29.98,81,32,8.1,2020-09-11 23:56:24
132,San Blas,MX,21.52,-105.27,80.6,78,90,5.82,2020-09-11 23:56:24
133,Usogorsk,RU,63.41,48.69,45.55,91,90,8.9,2020-09-11 23:56:25
